<DATE>,brn,cl,ho,xrb
20150105,49.38,47.57,1.6967,1.3146
20150112,49.91,48.8,1.6573,1.358
20150119,47.97,44.99,1.6435,1.3333
20150126,52.1,46.88,1.681,1.455
20150202,58.6,52.8,1.842,1.5697
20150209,62.03,53.47,1.9755,1.6322
20150216,59.89,50.76,2.2095,1.664
20150223,62.89,51.77,1.9664,1.9699
20150302,59.75,51.2,1.8532,1.8732
20150309,53.99,46.76,1.7087,1.7555
20150316,54.7,46.02,1.7206,1.7841
20150323,55.94,48.1,1.7248,1.7982
20150330,56.47,51.47,1.7026,1.7849
20150406,58.89,53.65,1.7729,1.8096
20150413,64.0,58.02,1.8966,1.9504
20150420,65.44,56.94,1.9241,2.01
20150427,67.33,59.11,1.9802,2.0413
20150504,66.13,60.11,1.9536,1.9914
20150511,66.91,60.73,2.0102,2.06
20150518,65.49,59.79,1.955,2.0652
20150525,65.19,59.85,1.9392,2.0519
20150601,63.69,59.07,1.8569,2.0193
20150608,64.15,60.2,1.88,2.1114
20150615,62.71,59.91,1.8657,2.0619
20150622,62.56,58.77,1.8465,2.0266
20150629,60.29,55.15,1.785,1.9896
20150706,58.19,52.33,1.7133,1.9948
20150713,57.16,50.97,1.6577,1.9343
20150720,54.62,47.85,1.6275,1.8232
20150727,51.7,46.84,1.5827,1.7646
20150803,48.42,44.11,1.5375,1.6315
20150810,48.62,42.6,1.547,1.6795
20150817,45.42,39.33,1.4453,1.539
20150824,49.45,44.64,1.5545,1.5148
20150831,49.35,45.7,1.5868,1.4135
20150907,49.13,45.11,1.5382,1.3662
20150914,47.57,45.38,1.5013,1.3695
20150921,48.39,45.3,1.5138,1.3875
20150928,47.88,45.83,1.5272,1.3453
20151005,52.81,50.46,1.5957,1.429
20151012,50.62,47.5,1.4919,1.3287
20151019,47.97,44.76,1.4557,1.3108
20151026,49.39,46.44,1.5189,1.3707
20151102,47.48,44.79,1.5045,1.3801
20151109,44.61,42.2,1.3935,1.2501
20151116,44.42,40.78,1.3562,1.2837
20151123,44.81,41.82,1.3565,1.3877
20151130,42.91,39.62,1.3407,1.2683
20151207,38.27,37.11,1.1438,1.2806
20151214,36.45,35.79,1.1012,1.255
20151221,37.76,37.74,1.1116,1.2537
20151228,38.34,37.79,1.1481,1.2841
20160104,32.99,32.52,1.0363,1.112
20160111,28.13,30.03,0.9195,1.018
20160118,32.08,32.25,1.0118,1.097
20160125,35.91,33.11,1.0639,1.1086
20160201,33.88,31.17,1.069,0.9986
20160208,32.85,29.38,1.0668,1.0466
20160215,32.97,32.37,1.0368,0.9709
20160222,35.23,32.74,1.0565,1.0252
20160229,39.01,36.57,1.1747,1.3488
20160307,40.34,38.4,1.2177,1.4507
20160314,41.06,40.67,1.2332,1.424
20160321,41.2,39.81,1.205,1.48
20160328,38.28,36.35,1.1253,1.3964
20160404,42.44,39.84,1.201,1.4678
20160411,40.58,39.74,1.1943,1.4214
20160418,44.98,43.05,1.3,1.5198
20160425,47.01,45.47,1.3698,1.5949
20160502,46.28,45.49,1.3489,1.5134
20160509,47.92,47.5,1.4166,1.6035
20160516,48.64,48.14,1.4855,1.6303
20160523,50.03,49.19,1.4888,1.6305
20160530,49.83,49.1,1.498,1.6234
20160606,50.27,48.43,1.5074,1.5483
20160613,49.46,49.1,1.4917,1.5159
20160620,48.73,47.38,1.4567,1.5262
20160627,50.53,48.96,1.5141,1.5142
20160704,46.61,45.1,1.4102,1.3668
20160711,47.67,45.96,1.4049,1.4227
20160718,45.63,44.23,1.3566,1.356
20160725,43.27,41.76,1.3103,1.3328
20160801,44.3,42.01,1.3237,1.374
20160808,47.15,45.52,1.4159,1.3766
20160815,50.4,48.43,1.5,1.495
20160822,49.68,46.96,1.49,1.4947
20160829,49.76,44.2,1.4025,1.2898
20160905,,45.18,1.4209,1.3654
20160912,,44.38,1.4267,1.4654
20160919,,44.76,1.4155,1.3838
20160926,49.9,47.9,1.5311,1.4542
20161003,51.53,49.37,1.5703,1.4698
20161010,51.79,50.66,1.5662,1.4978
20161017,51.56,50.55,1.5685,1.5266
20161024,50.35,48.51,1.545,1.4635
20161031,45.94,44.79,1.4494,1.3858
20161107,44.86,43.33,1.3986,1.3003
20161114,47.36,46.96,1.4715,1.35
20161121,47.42,46.0,1.471,1.3722
20161128,54.09,51.27,1.6511,1.5498
20161205,56.8,54.03,1.6926,1.5608
20161212,55.3,53.41,1.6814,1.5634
20161219,55.08,53.25,1.6665,1.6205
20161226,56.75,53.89,1.7043,1.6651
20170102,56.97,53.68,1.696,1.6272
20170109,55.59,53.26,1.6561,1.6123
20170116,55.6,53.2,1.6437,1.5675
20170123,55.43,52.91,1.6146,1.5151
20170130,56.91,54.02,1.6743,1.5667
20170206,56.7,53.79,1.6678,1.5799
20170213,55.78,53.92,1.6414,1.5204
20170220,56.35,54.31,1.6491,1.52
20170227,55.91,53.13,1.5888,1.6501
20170306,50.99,48.08,1.5028,1.5846
20170313,51.68,48.92,1.5045,1.588
20170320,51.12,47.83,1.5005,1.6048
20170327,53.48,50.51,1.5735,1.6993
20170403,55.42,52.39,1.6302,1.7472
20170410,55.67,53.15,1.6405,1.722
20170417,52.2,49.85,1.5598,1.65
20170424,51.85,49.23,1.5074,1.543
20170501,49.45,46.79,1.4522,1.5168
20170508,50.76,48.95,1.516,1.5967
20170515,54.01,51.07,1.5933,1.662
20170522,52.62,49.66,1.561,1.6382
20170529,49.95,48.26,1.499,1.5847
20170605,48.33,46.1,1.4392,1.5072
20170612,47.25,44.8,1.4229,1.4566
20170619,45.98,43.54,1.386,1.4433
20170626,48.92,46.18,1.4869,1.5107
20170703,46.88,44.6,1.4605,1.504
20170710,49.03,46.9,1.5206,1.5621
20170717,48.03,45.82,1.5208,1.5616
20170724,52.43,49.86,1.6596,1.7002
20170731,52.42,49.38,1.6414,1.6366
20170807,52.05,48.79,1.6338,1.6073
20170814,52.8,48.64,1.6164,1.614
20170821,52.35,47.7,1.6554,1.7605
20170828,52.44,47.43,1.7279,1.6921
20170904,53.9,47.87,1.7683,1.6563
20170911,55.51,50.46,1.7956,1.6657
20170918,56.88,50.52,1.8115,1.668
20170925,56.72,51.5,1.8006,1.5807
20171002,55.65,49.46,1.7419,1.5527
20171009,57.75,52.12,1.8104,1.632
20171016,57.98,52.1,1.808,1.6877
20171023,60.38,53.91,1.8685,1.7704
20171030,62.34,55.83,1.8911,1.781
20171106,63.7,56.82,1.9374,1.8237
20171113,62.54,56.76,1.945,1.742
20171120,63.41,58.71,1.9522,1.785
20171127,63.58,57.96,1.9361,1.7296
20171204,63.15,57.14,1.9219,1.7085
20171211,63.32,57.61,1.9129,1.6607
20171218,65.25,58.35,1.9677,1.7522
20171225,66.87,60.1,2.0755,1.7992
20180101,67.79,61.54,2.0554,1.7864
20180108,69.72,64.45,2.0897,1.8517
20180115,68.74,63.43,2.0589,1.8743
20180122,70.1,66.32,2.1309,1.9419
20180129,68.12,64.9,2.0374,1.8642
20180205,62.84,59.8,1.8665,1.714
20180212,65.06,62.29,1.9246,1.7646
20180219,67.02,63.81,1.9713,1.8155
20180226,64.67,61.5,1.8857,1.9065
20180305,65.64,62.09,1.8838,1.8983
20180312,66.0,62.06,1.9046,1.9351
20180319,69.85,65.62,2.0157,2.0262
20180326,69.51,65.15,2.031,2.0231
20180402,67.23,62.34,1.9643,1.955
20180409,72.27,66.78,2.0829,2.05
20180416,74.0,68.38,2.1257,2.0944
20180423,73.71,67.82,2.1452,2.1194
20180430,75.0,70.38,2.1695,2.1315
20180507,77.06,70.46,2.2142,2.1749
20180514,78.9,71.89,2.2784,2.2434
20180521,76.05,66.21,2.1843,2.1517
20180528,76.55,65.69,2.1717,2.1382
20180604,76.32,65.55,2.1596,2.103
20180611,73.04,63.65,2.0715,2.0099
20180618,74.17,68.42,2.0994,2.0437
20180625,78.69,73.26,2.182,2.1289
20180702,77.22,74.07,2.1809,2.1181
20180709,75.13,69.49,2.1271,2.0976
20180716,73.15,68.14,2.102,2.0617
20180723,74.83,68.89,2.1559,2.1602
20180730,73.2,68.78,2.1352,2.0653
20180806,73.0,67.51,2.1344,2.0335
20180813,71.75,64.94,2.096,1.974
20180820,75.99,68.68,2.2001,2.0742
20180827,77.78,69.61,2.2404,1.9976
20180903,77.25,68.17,2.2271,1.9858
20180910,77.99,68.67,2.2089,1.9765
20180917,79.71,71.6,2.2471,2.0389
20180924,82.98,73.53,2.3598,2.0956
20181001,83.47,73.78,2.3729,2.0702
20181008,81.67,71.97,2.345,1.9613
20181015,79.67,69.51,2.3099,1.9166
20181022,77.74,67.64,2.3017,1.8114
20181029,72.69,62.77,2.1679,1.6952
20181105,71.01,60.84,2.1929,1.6414
20181112,67.32,57.25,2.0884,1.5849
20181119,59.39,51.09,1.902,1.41
20181126,60.79,53.65,1.9011,1.469
20181203,61.8,52.51,1.8906,1.48
20181210,60.3,51.53,1.8471,1.4398
20181217,53.64,45.92,1.7462,1.323
20181224,53.34,45.75,1.6724,1.347
20181231,57.78,48.72,1.791,1.3719
20190107,60.74,50.98,1.8735,1.3908
20190114,62.31,54.17,1.9175,1.4545
20190121,61.16,53.09,1.8768,1.3782
20190128,62.75,55.14,1.9111,1.4607
